earnings,earnings.top,male,over65,white,immig,educ_r,workmos,workhrs.top,any.ssi,any.welfare,any.charity
0,0,1,0,1,1,4,0,0,0,0,0
0,0,0,1,0,1,2,0,0,0,0,0
32,32,1,0,1,0,3,12,40,0,0,0
7.5,7.5,0,0,1,1,1,11,40,0,0,0
45,45,1,0,1,0,4,12,40,0,0,0
31,31,1,0,0,0,2,12,40,0,0,0
NA,NA,0,0,0,0,3,12,40,0,0,0
1.92,1.92,0,0,0,0,3,12,40,0,1,0
NA,NA,1,0,0,0,4,12,40,0,0,0
NA,NA,0,0,0,1,2,12,40,0,0,0
50,50,1,0,0,0,4,10,40,0,0,0
NA,NA,0,0,0,0,3,12,35,0,0,0
0,0,1,0,1,0,4,0,0,0,0,0
17.5,17.5,1,0,1,0,2,12,35,0,0,0
0,0,1,0,1,0,2.5,0,0,0,0,0
18,18,1,0,0,0,4,12,40,0,0,0
NA,NA,1,0,0,1,2,3,35,0,0,0
0,0,0,1,1,0,3,0,0,0,0,0
38,38,1,0,0,1,3,12,40,0,0,0
56,56,1,0,0,0,4,12,40,0,0,0
20,20,0,0,0,1,4,6,20,0,0,0
35,35,0,0,0,1,4,12,40,0,0,0
47.5,47.5,1,0,0,0,2,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
NA,NA,0,0,0,0,4,12,40,0,0,0
0,0,1,0,0,0,4,0,0,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
142,100,0,0,0,0,3,12,40,0,0,0
0,0,0,0,0,1,2,0,0,1,0,0
2.3,2.3,1,0,0,1,3,4,20,0,0,0
60,60,1,0,0,1,3,12,40,0,0,0
12,12,0,0,0,1,3,12,40,0,1,0
45,45,1,0,1,0,3,12,40,0,0,0
NA,NA,1,0,0,0,4,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
40,40,0,0,0,0,4,12,35,0,0,0
14,14,1,0,0,0,2,8,40,0,0,0
53.4,53.4,1,0,0,1,3,12,40,0,0,0
20,20,1,0,0,1,4,10,40,0,0,0
76,76,0,0,0,0,4,12,37,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
NA,NA,0,0,1,0,2,12,40,0,0,0
6.96,6.96,0,0,0,1,1,12,12,0,0,0
160,100,1,0,1,0,4,12,40,0,0,0
NA,NA,0,0,1,1,2,12,40,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0
0,0,1,1,1,0,3,0,0,0,0,0
18.9,18.9,0,0,1,0,2,12,35,1,0,0
26,26,0,0,1,0,4,12,40,0,0,0
NA,NA,1,0,1,0,4,12,35,0,0,0
21,21,1,0,1,1,4,12,24,0,0,0
45,45,1,0,0,0,2,12,37,0,0,0
20,20,0,0,1,0,4,12,40,0,0,0
34,34,0,0,1,0,4,12,30,0,0,0
140,100,0,0,0,0,3,12,20,0,0,0
4.3,4.3,0,0,1,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,4,35,0,0,0
90,90,0,0,1,0,3,12,40,0,0,0
220,100,0,0,1,0,4,12,40,0,0,0
90,90,0,0,0,1,4,12,40,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
120,100,0,0,0,0,4,10,15,0,0,0
NA,NA,0,0,1,0,4,11,40,0,0,0
20.712,20.712,0,0,0,0,3,12,40,1,0,1
0,0,0,0,0,0,1,0,0,1,0,0
NA,NA,1,0,1,0,4,12,40,0,0,0
412,100,0,0,0,1,3,12,40,0,0,0
9,9,0,0,0,0,4,6,35,0,0,0
36,36,0,0,0,0,3,12,40,0,0,0
0,0,1,0,1,1,4,0,0,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
NA,NA,0,0,0,0,3,12,30,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
83,83,0,0,0,0,2,11,36,0,0,0
20,20,1,0,0,1,2,6,40,0,0,0
63,63,1,0,0,1,3,12,38,0,0,0
0,0,1,1,1,0,2,0,0,0,0,0
5,5,0,0,0,0,3,9,22,0,0,0
23.3,23.3,0,0,0,1,1,12,40,0,0,0
NA,NA,0,0,0,1,2,3,40,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
NA,NA,1,0,0,1,1,12,40,0,0,0
84,84,1,0,0,0,4,12,40,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0
NA,NA,0,0,0,0,2,12,40,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
79.2,79.2,1,0,0,0,2,12,40,0,0,0
60,60,0,0,0,1,4,12,40,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
30,30,1,0,1,0,4,12,40,0,0,0
70,70,0,0,1,0,1,12,20,0,0,0
100,100,1,0,1,0,4,12,35,0,0,0
0,0,1,1,1,0,4,0,0,0,0,0
26.2,26.2,1,0,0,1,1,12,30,0,0,0
11,11,0,0,0,1,1,12,40,0,0,0
NA,NA,1,0,1,0,3,12,40,0,0,0
17.5,17.5,0,0,0,0,1,12,25,0,0,0
26.5,26.5,0,0,0,1,4,12,35,0,0,0
0,0,0,1,0,0,3,0,0,0,0,0
NA,NA,1,0,1,0,3,12,40,0,0,0
NA,NA,0,0,0,0,1,11,40,0,0,0
20,20,0,0,0,0,3,12,30,0,0,0
20,20,1,1,1,0,3,8,40,0,0,0
14,14,1,0,0,1,4,12,40,0,0,0
150,100,1,0,0,0,4,12,40,0,0,0
22,22,0,0,0,1,4,12,40,0,0,0
0,0,0,0,0,0,2,0,0,1,0,0
101,100,0,0,1,0,4,6,40,0,0,0
0,0,0,0,0,1,3,0,0,0,0,0
325,100,1,0,1,0,4,12,40,0,0,0
120,100,0,0,0,1,4,9,35,0,0,0
0,0,0,0,0,1,4,0,0,0,0,0
55,55,1,0,0,0,2,12,40,0,0,0
110,100,1,0,1,1,4,12,40,0,0,0
100,100,1,0,1,0,3,12,40,0,0,0
85,85,1,0,1,0,4,12,40,0,0,0
14,14,1,0,0,1,1,10,40,0,0,0
NA,NA,1,0,1,0,4,12,40,0,0,0
27.5,27.5,1,0,0,1,2,12,40,0,0,0
12,12,0,0,0,1,3,12,25,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
20.8,20.8,0,0,0,0,2,6,40,0,0,0
55,55,0,0,1,0,4,12,40,0,0,0
5,5,0,0,0,0,2,6,25,0,0,0
48,48,1,0,0,1,4,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
98,98,1,0,1,0,4,12,40,0,0,0
23,23,0,0,0,0,3,12,35,0,0,0
14,14,1,0,0,1,2,10,40,0,0,0
40,40,1,0,0,1,2,10,40,0,0,0
2,2,0,0,1,0,2,2,30,0,1,0
NA,NA,0,0,0,1,1,12,40,0,0,0
NA,NA,1,0,0,1,2,7,20,0,0,0
32,32,0,0,0,0,3,12,40,0,0,0
68,68,1,0,0,0,2,12,38,0,0,0
0,0,1,0,0,0,2,0,0,0,0,0
6,6,1,0,0,1,1,6,40,0,0,0
85,85,1,0,1,0,3,12,40,0,0,0
45,45,1,0,0,1,2,12,40,0,0,0
NA,NA,0,0,0,0,2,12,40,0,0,0
165,100,0,0,1,0,4,12,40,0,0,0
120,100,0,0,0,1,4,12,40,0,0,0
2.5,2.5,0,0,0,0,2,12,40,0,0,0
10.896,10.896,1,0,0,1,3,12,37,0,0,0
0,0,1,0,0,0,3,0,0,1,0,0
30,30,0,0,0,0,3,12,40,0,0,0
48,48,0,0,1,0,4,10,20,0,0,0
0,0,0,0,1,0,4,0,0,0,0,0
143.5,100,1,0,1,0,4,12,40,0,0,0
5,5,0,0,0,0,4,3,35,0,0,0
0,0,1,0,0,1,3,0,0,0,0,0
50,50,0,0,0,0,3,12,40,0,0,0
135,100,0,0,1,1,4,9,35,0,0,0
NA,NA,0,0,1,0,3,12,30,0,0,0
NA,NA,1,0,0,0,3,11,35,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
75,75,1,0,1,0,4,12,40,0,0,0
NA,NA,1,0,1,0,3,12,40,0,0,0
30,30,1,0,1,0,4,5,40,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
NA,NA,0,0,1,1,2,12,35,0,0,0
33,33,0,0,0,0,3,12,37,0,0,0
0,0,0,1,0,1,1,0,0,1,0,0
18,18,0,0,0,0,3,12,40,0,0,1
125,100,1,0,0,0,4,12,40,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
6,6,0,0,0,0,2,9,8,0,0,0
100,100,0,0,1,0,3,12,40,0,0,0
33,33,0,0,0,0,3,12,40,0,0,0
220,100,1,0,1,0,2,12,40,0,0,0
93,93,0,0,0,0,4,12,40,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
0,0,0,0,0,0,2.5,0,0,0,0,0
66,66,0,0,0,1,2,12,36,0,0,0
0,0,0,1,1,1,1,0,0,0,0,0
14,14,1,0,0,0,1,7,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
27,27,0,0,0,1,2,12,40,0,0,0
6.4,6.4,0,0,0,1,2,11,40,0,0,0
43.2,43.2,1,0,0,1,3,9,35,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
100,100,0,0,0,0,2,12,40,0,0,0
14.2,14.2,0,0,0,1,3,11,8,0,0,0
NA,NA,0,0,0,0,1,9,40,0,0,0
47.5,47.5,0,0,0,1,2,12,40,0,0,0
5,5,0,0,0,0,2,5,24,0,0,0
105,100,0,0,1,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
210,100,1,0,1,0,4,12,40,0,0,0
5,5,0,0,0,0,2,12,40,0,0,0
NA,NA,0,0,0,0,4,12,40,0,0,0
14.832,14.832,0,0,0,0,1,12,40,0,0,0
NA,NA,0,0,0,1,1,12,40,1,0,0
32,32,0,0,1,0,4,12,40,0,0,0
24,24,0,0,0,0,3,12,35,0,0,0
0,0,0,0,1,0,4,0,0,0,0,0
29,29,1,0,0,1,2,12,40,0,0,0
25,25,1,0,1,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,11,21,0,0,0
NA,NA,1,0,0,1,2,1,40,0,0,0
54,54,0,0,0,0,2,12,40,0,0,0
12,12,0,0,0,0,2,3,30,0,0,0
NA,NA,1,0,0,1,1,12,40,0,0,0
0,0,1,1,1,0,4,0,0,0,0,0
0,0,1,1,1,0,2,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
6.72,6.72,1,0,0,0,1,8,35,0,0,0
30,30,0,0,0,1,3,12,35,0,0,0
11,11,0,0,0,1,3,12,40,0,0,0
30,30,0,0,0,0,3,12,40,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0
NA,NA,1,0,1,1,4,12,40,0,0,0
8,8,1,0,0,1,2,8,40,0,1,0
NA,NA,1,0,0,1,1,12,40,0,0,0
NA,NA,0,0,1,0,2,11,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0
110,100,1,0,0,0,3,12,40,0,0,0
30,30,1,0,0,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
0,0,1,0,1,1,1,0,0,0,0,0
0,0,1,0,1,0,2,0,0,0,0,0
27,27,1,0,1,0,4,12,40,0,0,0
NA,NA,1,0,1,0,4,12,40,0,0,0
108,100,0,0,0,0,1,12,10,0,0,0
8,8,1,0,0,0,3,11,25,0,0,0
0,0,0,0,1,0,4,0,0,0,0,0
20,20,0,0,0,1,1,12,40,0,0,0
NA,NA,1,0,0,1,4,12,5,0,0,0
16,16,0,0,1,0,3,12,40,0,0,0
30,30,1,0,0,1,3,12,8,1,1,0
0,0,0,0,0,0,3,0,0,0,0,0
NA,NA,1,0,1,0,2,12,40,0,0,0
NA,NA,0,0,1,0,2,12,40,0,0,0
0,0,1,1,1,0,4,0,0,0,0,0
60,60,0,0,0,0,3,12,40,0,0,0
9,9,1,0,0,1,1,12,25,0,0,0
96,96,1,0,1,0,4,12,40,0,0,0
46,46,0,0,0,0,2,12,40,0,0,0
91,91,0,0,1,0,4,12,40,0,0,0
NA,NA,1,1,0,1,4,10,30,0,0,0
NA,NA,1,0,1,1,4,12,40,0,0,0
NA,NA,0,0,0,1,4,12,35,0,0,0
35,35,0,0,0,0,3,10,35,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0
NA,NA,0,0,0,1,4,12,40,0,0,0
15,15,0,0,0,0,2,12,40,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
NA,NA,0,0,0,1,2,7,40,0,0,0
28,28,0,0,0,0,4,12,35,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
17.5,17.5,1,0,0,0,2,12,40,0,0,0
52,52,0,0,1,1,4,12,40,0,0,0
110,100,0,0,1,0,4,12,40,0,0,0
17,17,1,0,0,1,3,8,40,0,0,0
100,100,1,0,1,0,4,12,40,0,0,0
10.4,10.4,0,0,0,1,2,12,40,0,0,0
8.25,8.25,0,0,0,0,2,10,10,0,0,0
74,74,1,0,0,0,3,12,40,0,0,0
NA,NA,1,0,1,0,3,12,35,0,0,0
62,62,0,0,0,1,3,11,37,0,0,0
NA,NA,0,0,0,0,2,12,40,0,0,0
75,75,1,0,1,0,4,12,30,0,0,0
120,100,1,0,1,0,4,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
163,100,1,0,1,0,2,12,40,0,0,0
9.6,9.6,0,0,0,1,1,12,40,0,0,0
13,13,0,0,0,1,2,12,10,0,0,0
84,84,1,0,1,0,4,12,40,0,0,0
5,5,1,0,0,1,2,11,20,0,0,0
22.5,22.5,0,0,0,1,1,12,40,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0
NA,NA,0,0,0,1,2,5,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
12.22,12.22,0,0,0,0,3,10,8,0,1,0
0,0,0,1,0,0,2,0,0,1,0,0
130,100,1,0,1,0,4,12,40,0,0,0
30,30,1,0,1,0,4,12,40,0,0,0
70,70,1,0,0,0,3,12,35,0,0,0
6,6,1,0,0,0,2,10,20,0,0,0
3250,100,0,0,0,0,4,12,40,0,0,0
100,100,0,0,1,0,4,12,40,0,0,0
115,100,0,0,1,0,4,12,40,0,0,0
20,20,1,0,0,1,4,12,20,0,0,0
32,32,0,0,1,0,4,10,40,0,0,0
4,4,1,0,0,1,2,5,24,0,0,0
65,65,0,0,0,1,4,12,35,0,0,0
43,43,1,0,1,0,2,12,40,0,0,0
90,90,1,0,1,0,4,12,35,0,0,0
22,22,0,0,0,0,3,12,40,0,0,0
0,0,0,0,0,0,2,0,0,1,0,0
75,75,1,0,0,0,3,12,40,0,0,0
NA,NA,1,0,1,0,4,12,20,0,0,0
111,100,1,0,0,1,3,12,35,0,0,0
180,100,1,0,1,0,3,12,40,0,0,0
NA,NA,0,0,0,1,2,10,40,0,0,0
73,73,0,0,0,0,1,12,40,0,0,0
0,0,1,1,0,0,4,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,1,1,1,4,0,0,0,0,0
55,55,1,0,0,1,3,12,40,0,0,0
480,100,1,0,0,1,3,12,40,0,0,0
32,32,0,0,0,1,2,12,40,0,0,0
65,65,1,0,1,0,4,12,40,0,0,0
0,0,1,0,1,0,2,0,0,0,0,0
NA,NA,0,0,0,1,4,12,30,0,0,0
20,20,0,0,0,0,4,12,35,0,0,0
60,60,0,0,0,1,4,12,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
NA,NA,0,0,0,0,4,12,40,0,0,0
27,27,0,0,0,1,4,12,40,0,0,0
10,10,0,0,0,1,2,9,20,0,0,1
25,25,0,0,0,1,1,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
0,0,1,1,1,1,2,0,0,0,0,0
35.2,35.2,0,0,0,0,3,12,40,0,0,0
76,76,1,0,0,0,4,12,40,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
30,30,1,0,1,1,3,12,40,0,0,0
27.5,27.5,1,0,0,0,2,12,35,0,0,0
32,32,1,0,0,1,3,8,40,0,0,0
12.5,12.5,0,0,0,1,3,12,40,0,0,0
6.72,6.72,1,0,0,1,1,11,40,0,0,0
0,0,1,0,1,0,4,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
62,62,0,0,0,0,1,12,40,0,0,0
0,0,0,0,0,0,1,0,0,1,1,0
0,0,1,1,1,1,2,0,0,0,0,0
28,28,0,0,0,0,1,12,35,0,0,0
0,0,1,1,1,0,2,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0
25,25,0,0,0,1,2,12,35,0,0,0
NA,NA,0,0,0,1,2,10,40,0,0,0
40,40,0,0,0,0,2,12,35,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
690,100,0,0,1,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
100,100,1,0,1,0,3,8,40,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
NA,NA,0,0,0,0,4,12,40,0,0,0
9.6,9.6,0,0,0,0,1,12,40,0,0,0
60,60,1,0,1,0,4,12,40,0,0,0
22,22,0,0,1,0,4,9,35,0,0,0
0,0,1,1,0,1,4,0,0,0,0,0
38,38,1,0,0,0,2,12,40,0,0,0
NA,NA,0,0,1,1,3,7,40,0,0,0
NA,NA,1,0,0,1,2.5,12,40,0,0,0
75,75,1,0,0,0,3,12,40,0,0,0
38,38,0,0,1,1,2,12,36,0,0,0
4,4,0,0,0,0,3,5,20,0,0,0
87,87,1,0,0,0,2,12,40,0,0,0
9,9,0,0,0,0,3,12,10,0,0,0
28.8,28.8,0,0,1,1,2,12,40,0,0,0
30,30,1,0,0,0,4,9,40,0,0,0
NA,NA,0,0,1,0,2,7,40,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
15.6,15.6,0,0,0,1,2,12,40,0,0,0
36,36,1,0,0,1,4,12,37,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,0,0,0,3,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
24,24,1,0,1,0,4,12,30,0,0,0
10,10,1,0,0,1,1,7,35,0,0,0
46,46,0,0,0,1,4,12,37,0,0,0
127,100,1,0,0,1,4,12,40,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
22.5,22.5,1,0,0,1,2,12,40,0,0,0
96,96,1,0,0,1,2,12,40,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
36,36,0,0,0,1,3,12,35,0,0,0
7.2,7.2,1,0,0,1,1,12,40,0,0,0
50,50,1,0,0,0,4,12,40,0,0,0
43.5,43.5,0,0,0,0,3,12,30,0,0,1
NA,NA,0,0,0,1,3,6,40,0,0,1
20,20,1,0,0,1,4,12,40,0,0,0
0,0,0,1,1,1,1,0,0,0,0,0
NA,NA,0,0,0,0,2,10,35,0,0,0
48,48,1,0,1,0,4,12,40,0,0,0
13.5,13.5,1,0,0,1,2,11,40,0,0,0
240,100,0,0,1,0,4,12,40,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
5,5,1,0,0,0,2,3,6,0,1,0
110,100,1,0,1,0,2,12,35,0,0,0
3,3,0,0,0,0,2,12,40,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
100,100,1,0,1,0,3,12,40,0,0,0
65,65,1,0,0,0,2,12,40,0,0,0
NA,NA,0,0,0,0,2,12,40,0,0,0
305,100,0,0,1,1,2,11,40,0,0,0
58,58,0,0,1,1,4,12,40,0,0,0
110,100,0,0,0,0,4,12,40,0,0,0
117,100,1,0,1,0,3,12,40,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
0,0,0,1,1,1,2,0,0,0,0,0
35,35,0,0,0,0,2,10,35,0,0,0
140,100,1,0,0,1,4,12,40,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0
43,43,0,0,0,0,4,12,40,0,0,0
12.5,12.5,0,0,1,1,2,12,40,0,0,0
40,40,0,0,0,0,4,12,40,0,0,0
0,0,0,0,1,0,3,0,0,0,0,0
40,40,1,0,0,1,2,10,40,0,0,0
30,30,1,0,0,0,2,12,37,0,0,0
35,35,1,0,0,0,2,12,40,0,0,0
10,10,0,0,1,1,4,5,40,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0
2,2,1,1,1,0,4,11,6,0,0,0
495,100,0,0,0,0,4,12,35,0,0,0
55,55,0,0,0,1,4,12,38,0,0,0
16.2,16.2,1,0,0,1,3,9,40,0,0,0
NA,NA,1,0,1,0,4,12,40,0,0,0
0,0,0,1,1,1,3,0,0,0,0,0
65,65,1,0,1,0,2,12,40,0,0,0
1.85,1.85,0,0,0,0,3,2,40,0,0,0
NA,NA,0,0,0,1,2.5,11,40,0,0,0
70,70,1,0,1,0,3,12,40,0,0,0
50,50,0,0,0,0,3,12,4,0,0,0
240,100,1,0,0,1,4,12,40,0,0,0
1500,100,1,0,1,1,4,12,40,0,0,0
0,0,1,0,0,1,4,0,0,0,0,0
NA,NA,1,0,0,1,4,9,40,0,0,0
140,100,1,0,0,1,4,12,40,0,0,0
0,0,0,0,0,1,4,0,0,0,0,0
5,5,0,0,0,0,3,11,40,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
46,46,0,0,0,1,3,11,40,0,0,0
6.4,6.4,0,0,0,1,2,8,22,0,0,0
0,0,1,0,1,0,2,0,0,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
22,22,0,0,1,0,4,10,32,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
NA,NA,0,0,1,0,2,12,35,0,0,0
30,30,0,0,0,1,3,12,40,0,0,0
45,45,0,0,0,1,3,12,35,0,0,0
62,62,1,0,0,0,2,12,40,0,0,0
60,60,0,0,1,0,2,10,35,0,0,0
NA,NA,0,0,0,1,1,11,35,0,0,0
60,60,0,0,0,0,4,10,40,0,0,0
44,44,1,0,0,1,2,12,40,0,0,0
10.1,10.1,1,0,0,0,4,12,40,0,0,0
19.2,19.2,0,0,0,0,3,12,40,0,0,0
6,6,1,0,0,1,3,11,40,0,0,0
28,28,0,0,0,1,3,12,30,0,0,0
NA,NA,1,0,0,1,3,8,40,0,0,0
30,30,1,0,0,0,4,12,30,0,0,0
NA,NA,1,0,0,1,3,12,40,0,0,0
32.4,32.4,1,0,0,1,4,12,40,0,0,0
171,100,0,0,0,0,4,12,40,0,0,0
61,61,1,0,0,0,3,12,40,0,0,0
